,Abiotrophia,Acidaminococcus,Acinetobacter,Actinomyces,Adlercreutzia,Aggregatibacter,Akkermansia,Alistipes,Anaerofustis,Anaeroglobus,Anaerostipes,Anaerotruncus,Atopobium,Bacillus,Bacteroidales,Bacteroides,Barnesiella,Bifidobacterium,Bilophila,Blautia,Burkholderiales,Butyricicoccus,Butyricimonas,Butyrivibrio,Campylobacter,Candidatus,Cetobacterium,Citrobacter,Clostridiaceae,Clostridiales,Clostridium,Collinsella,Coprobacillus,Coprobacter,Coprococcus,Corynebacterium,Desulfovibrio,Dialister,Dielma,Dolosigranulum,Dorea,Dysgonomonas,Eggerthella,Eikenella,Enorma,Enterobacter,Enterococcus,Erysipelatoclostridium,Erysipelotrichaceae,Escherichia,Eubacterium,Faecalibacterium,Finegoldia,Flavonifractor,Fusobacterium,Gemella,Gordonia,Gordonibacter,Granulicatella,Haemophilus,Hafnia,Holdemania,Intestinibacter,Intestinimonas,Klebsiella,Lachnoanaerobaculum,Lachnospira,Lachnospiraceae,Lactobacillus,Lactococcus,Lautropia,Lelliottia,Leuconostoc,Megamonas,Megasphaera,Mobiluncus,Morganella,Negativicoccus,Neisseria,Odoribacter,Olsenella,Oribacterium,Oscillibacter,Oscillospiraceae,Oxalobacter,Parabacteroides,Parasutterella,Parvimonas,Pediococcus,Peptoclostridium,Peptostreptococcus,Phascolarctobacterium,Porphyromonas,Prevotella,Propionibacterium,Proteus,Providencia,Pseudoflavonifractor,Pseudomonas,Ralstonia,Raoultella,Robinsoniella,Roseburia,Rothia,Ruminococcaceae,Ruminococcus,Salmonella,Senegalimassilia,Slackia,Solobacterium,Staphylococcus,Stenotrophomonas,Stomatobaculum,Streptococcus,Subdoligranulum,Sutterella,Tannerella,Turicibacter,Tyzzerella,Veillonella
Case_1_18_month,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.72,0.0,0.0,17180.83,0.0,0.0,0.0,0.0,45376.89,0.0,63571.18,0.0,5992.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2654.26,12895.89,0.0,7780.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13279.56,0.0,0.0,0.0,22204.18,1402.88,4972.61,1590.4,14268.02,148.87,186.65,1437.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,440.75,0.0,0.0,0.0,0.0,4587.29,0.0,128.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14494.73,0.0,0.0,169.86,18431.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.05,0.0,0.0,91.3,214.96,0.0,7488.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3199.96,3894.01,0.0,0.0,0.0,8950.5,20181.21
Case_1_21_month,0.0,0.0,0.0,558.78,0.0,2267.11,0.0,0.0,0.0,0.0,3526.1,0.0,0.0,0.0,0.0,35179.05,0.0,208823.21,0.0,94.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3361.43,3141.46,0.0,4787.360000000001,0.0,0.0,331.96000000000004,0.0,2869.11,0.0,86.56,0.0,0.0,4516.15,132.34,0.0,3030.83,2209.91,1685.33,547.96,6485.3,139.37,5762.54,0.0,0.0,115.33,424.64,0.0,0.0,106.24,16255.73,0.0,0.0,2025.67,0.0,0.0,147.4,0.0,793.76,41724.77,0.0,112.84,649.55,0.0,0.0,0.0,0.0,0.0,0.0,2223.23,0.0,0.0,0.0,0.0,0.0,0.0,3245.9700000000003,0.0,0.0,11103.34,4319.94,0.0,0.0,0.0,0.0,0.0,137.3,0.0,0.0,0.0,0.0,0.0,0.0,77.2,1463.75,0.0,5396.209999999999,0.0,0.0,0.0,0.0,976.48,0.0,0.0,21972.98,0.0,0.0,0.0,0.0,8878.39,31275.21
Case_1_24_month,0.0,0.0,0.0,2898.92,0.0,212.62,0.0,0.0,0.0,0.0,8321.9,0.0,306.75,0.0,0.0,9021.59,0.0,230678.92,0.0,12068.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2885.25,0.0,10956.75,13964.09,0.0,6855.43,0.0,731.1500000000001,411.64,0.0,5675.35,0.0,0.0,0.0,0.0,11716.3,108.71,0.0,602.61,4343.88,2629.05,5281.31,5788.08,163.44,5772.79,0.0,0.0,135.7,217.38,0.0,0.0,0.0,9559.18,0.0,0.0,15341.329999999998,0.0,79.19,0.0,0.0,2001.0,79.91,0.0,0.0,0.0,116.4,0.0,1509.25,0.0,0.0,138.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1407.0300000000002,0.0,0.0,0.0,5820.66,0.0,0.0,0.0,0.0,133.15,0.0,0.0,0.0,0.0,0.0,481.66,0.0,336.92,1031.36,0.0,14288.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13001.11,0.0,0.0,0.0,195.97,8951.84,30488.17
Case_1_27_month,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2212.72,0.0,0.0,4933.17,0.0,0.0,0.0,0.0,125813.95,0.0,223446.62,0.0,8683.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1617.1699999999998,1028.33,0.0,241.58,0.0,0.0,0.0,0.0,141.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.25,0.0,605.69,7280.37,17829.68,6629.47,0.0,379.17,0.0,0.0,0.0,0.0,0.0,3600.62,0.0,0.0,0.0,0.0,0.0,0.0,94.52,2843.65,21230.23,0.0,0.0,0.0,0.0,0.0,2449.25,0.0,0.0,0.0,498.77,0.0,0.0,0.0,0.0,0.0,0.0,15267.88,0.0,0.0,0.0,658.86,0.0,0.0,0.0,239.54,212.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12101.68,0.0,0.0,16923.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9726.84,0.0,649.54,0.0,0.0,4997.0,36401.79
Control_1_3_month,0.0,0.0,0.0,6737.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.23,0.0,0.0,2737.87,0.0,161169.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,753.6400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12159.87,0.0,0.0,913.61,0.0,0.0,0.0,0.0,0.0,145.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.38,7141.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.2,554.4,0.0,5277.41,0.0,0.0,0.0,0.0,1656.17,0.0,0.0,13375.24,0.0,0.0,0.0,0.0,0.0,5566.74
Control_1_9_month,0.0,0.0,0.0,6372.9800000000005,554.78,0.0,0.0,0.0,0.0,0.0,10045.39,0.0,2881.77,0.0,0.0,70421.4,0.0,271951.33,0.0,19693.24,0.0,0.0,0.0,0.0,0.0,110.65,0.0,12106.79,0.0,4081.42,10658.31,0.0,5158.55,0.0,0.0,0.0,0.0,1331.83,0.0,0.0,0.0,228.48,23969.31,0.0,0.0,3602.98,8614.69,2321.02,2817.11,11708.58,4890.030000000001,0.0,0.0,0.0,318.63,233.77,0.0,0.0,107.11,6537.25,0.0,0.0,2971.12,0.0,9230.67,0.0,0.0,5120.16,8358.64,1545.87,0.0,0.0,0.0,0.0,594.71,0.0,0.0,0.0,4179.45,0.0,0.0,0.0,0.0,0.0,0.0,163.5,0.0,0.0,0.0,7742.86,0.0,0.0,0.0,0.0,165.65,0.0,0.0,0.0,0.0,0.0,1254.52,0.0,4910.63,667.21,0.0,30082.67,0.0,0.0,0.0,100.8,0.0,0.0,0.0,9356.2,0.0,0.0,0.0,0.0,241.19,27016.27
Control_1_12_month,0.0,0.0,0.0,1142.58,0.0,0.0,0.0,14080.6,0.0,0.0,5892.95,337.85,0.0,0.0,0.0,143161.3,0.0,205246.91,0.0,10831.19,1525.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3534.51,11364.71,16260.94,0.0,18544.38,0.0,823.8399999999999,0.0,0.0,0.0,2198.17,0.0,0.0,0.0,26426.61,0.0,0.0,0.0,800.76,3494.14,22021.96,1770.83,0.0,4599.69,0.0,1871.3,0.0,0.0,0.0,510.95,0.0,0.0,0.0,0.0,4072.81,575.4,0.0,0.0,0.0,10227.4,98.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1375.34,851.68,0.0,1318.26,1673.05,0.0,0.0,11774.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.6,0.0,0.0,12141.62,0.0,0.0,0.0,115.92,0.0,0.0,0.0,4247.6900000000005,6657.76,0.0,0.0,0.0,8498.09,7406.59
Control_1_15_month,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14063.06,0.0,0.0,8946.79,326.17,0.0,0.0,0.0,144660.08,0.0,138947.24,0.0,12997.1,147.35,0.0,0.0,0.0,0.0,1602.93,0.0,0.0,2797.96,15535.39,23557.91,0.0,14930.14,0.0,0.0,0.0,0.0,0.0,3777.52,0.0,0.0,0.0,20483.24,0.0,0.0,0.0,0.0,1880.64,11595.76,3143.65,11444.53,0.0,0.0,1472.5,0.0,0.0,0.0,263.41,0.0,0.0,0.0,0.0,5687.71,7187.92,0.0,0.0,0.0,5232.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1428.09,904.08,0.0,781.61,128.42,0.0,0.0,7082.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10361.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.9,7268.05,0.0,0.0,0.0,5235.4,14912.52
Control_1_18_month,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14058.53,0.0,0.0,3387.31,222.0,0.0,0.0,0.0,134905.05,0.0,162594.86000000002,0.0,13447.44,131.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1077.25,11684.71,3178.2,0.0,10404.05,0.0,0.0,0.0,0.0,0.0,716.45,0.0,1037.3000000000002,0.0,25344.29,0.0,0.0,0.0,0.0,2149.76,9846.56,7524.67,44023.73,2507.78,0.0,652.95,0.0,0.0,0.0,1634.7,0.0,0.0,0.0,0.0,7091.27,2207.78,0.0,0.0,0.0,4792.700000000001,0.0,211.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,983.07,597.99,0.0,143.24,110.89,0.0,0.0,9190.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10473.21,327.17,0.0,24100.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6860.4800000000005,6656.81,0.0,0.0,0.0,5770.88,0.0
Control_1_21_month,103.72,0.0,0.0,4723.27,0.0,93.8,1155.42,2116.13,0.0,0.0,11893.77,0.0,173.81,0.0,0.0,118234.95,0.0,175774.1,0.0,13756.329999999998,192.56,0.0,0.0,0.0,0.0,76.89,0.0,0.0,0.0,1778.17,7283.85,0.0,2782.51,0.0,2300.78,0.0,0.0,0.0,0.0,0.0,8027.900000000001,0.0,26853.34,0.0,0.0,0.0,2516.97,1079.56,181.42,10871.06,3642.7,6802.87,0.0,252.47,0.0,370.93,0.0,0.0,533.9,6449.52,0.0,0.0,4242.95,0.0,0.0,0.0,0.0,7656.36,0.0,1134.64,0.0,0.0,0.0,0.0,1436.46,0.0,0.0,0.0,113.3,0.0,0.0,77.76,0.0,0.0,0.0,3347.78,202.67,0.0,0.0,8785.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6016.150000000001,1075.35,0.0,14829.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32206.91,0.0,0.0,0.0,101.69,133.77,4913.57
